DURATION	SERVICE	SOURCE_BYTES	DESTINATION_BYTES	COUNT	SAME_SRV_RATE	SERROR_RATE	SRV_SERROR_RATE	DST_HOST_COUNT	DST_HOST_SRV_COUNT	DST_HOST_SAME_SRC_PORT_RATE	DST_HOST_SERROR_RATE	DST_HOST_SRV_SERROR_RATE	FLAG	IDS_DETECTION	MALWARE_DETECTION	ASHULA_DETECTION	LABEL	SOURCE_IP_ADDRESS	SOURCE_PORT_NUMBER	DESTINATION_IP_ADDRESS	DESTINATION_PORT_NUMBER	START_TIME	PROTOCOL
2.999457	other	0	0	0	0.00	0.00	1.00	36	72	0.00	0.92	0.92	S0	0	0	0	-1	fd95:ec1e:6a61:9a6d:24b8:7c6a:53bb:174a	1177	fd95:ec1e:6a61:05d3:7dd2:270d:61ec:03f4	445	17:28:43	tcp
0.000602	dns	46	103	2	1.00	0.00	0.00	97	97	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	50854	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	00:25:05	udp
0.932848	ssh	520	1564	1	1.00	0.00	0.00	13	13	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:d8a9:34f3:37be:0611:1f9a	13802	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	22	11:30:45	tcp
0.000000	other	0	0	0	0.00	0.00	0.06	0	0	0.00	0.00	0.00	RSTOS0	0	0	0	-1	fd95:ec1e:6a61:f334:137a:15dc:3b9e:0963	46321	fd95:ec1e:6a61:a206:7d65:274f:60a1:1838	23	01:21:27	tcp
0.000000	dns	0	0	0	0.00	0.00	0.00	4	4	0.00	0.75	0.75	S0	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	57169	fd95:ec1e:6a61:dfb5:3f2e:0539:0323:00bd	53	00:35:12	udp
0.000383	dns	44	105	88	1.00	0.00	0.00	100	100	0.00	0.00	0.00	SF	0	0	0	-1	fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709	56913	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	19:41:21	udp
1.672616	ssh	505	1960	1	1.00	0.00	0.00	82	82	0.00	0.00	0.00	RSTO	6-128-1(2)	0	0	-1	fd95:ec1e:6a61:dbb9:35cc:0d32:3dbc:3c9b	43236	fd95:ec1e:6a61:77da:7a15:006d:5f38:3908	22	15:56:28	tcp
5.603100	dns	36	36	21	1.00	0.00	0.19	54	56	0.00	0.17	0.16	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	32904	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	18:25:48	udp
2.084872	ssh	520	1564	1	1.00	0.00	0.00	19	19	0.00	0.00	0.00	SF	1325-1-10(1)	0	0	1	fd95:ec1e:6a61:ce29:47fb:430a:3924:023e	34103	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	22	15:13:19	tcp
0.000583	dns	42	84	35	1.00	0.03	0.03	72	72	0.00	0.03	0.03	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	59325	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	03:22:25	udp
0.000000	dns	0	0	8	1.00	0.25	0.16	54	54	0.00	0.15	0.15	S0	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	35038	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	18:16:02	udp
0.000000	dns	0	0	3	1.00	0.33	0.50	62	64	0.00	0.06	0.06	S0	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	42489	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	15:34:32	udp
0.000000	other	0	0	0	0.00	0.00	0.33	0	0	0.00	0.00	0.00	S0	0	0	0	-1	fd95:ec1e:6a61:5829:25a1:0fb4:37c6:037f	7586	fd95:ec1e:6a61:71e2:7d48:27fe:07f5:1897	7586	16:18:16	tcp
1.052602	ssh	552	1564	2	1.00	0.00	0.00	56	62	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:fb83:25c9:368d:24f4:17b3	52369	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	22	11:23:51	tcp
0.000000	dns	0	0	3	1.00	0.67	0.50	18	18	0.00	0.44	0.44	SHR	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	41392	fd95:ec1e:6a61:dfb5:3f2e:0539:0323:00bd	53	20:09:19	udp
2.997937	other	0	0	0	0.00	0.00	1.00	0	1	0.00	0.00	1.00	S0	0	0	0	-1	fd95:ec1e:6a61:81f8:486c:053b:03ba:3371	11669	fd95:ec1e:6a61:d7b9:7d24:270e:605d:144f	23	00:34:43	tcp
0.000000	dns	0	0	0	0.00	0.00	1.00	9	9	0.00	0.56	0.56	S0	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	45010	fd95:ec1e:6a61:dfb5:3f2e:0539:0323:00bd	53	00:40:03	udp
0.014946	dns	31	76	8	1.00	0.00	0.15	44	72	0.00	0.05	0.03	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	57705	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	07:42:48	udp
0.000752	dns	36	113	5	1.00	0.00	0.18	16	16	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	48019	fd95:ec1e:6a61:e4c3:7ddb:277a:0f76:1504	53	18:24:22	udp
0.000000	dns	0	0	12	1.00	0.00	0.08	9	91	0.00	0.00	0.00	SHR	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	41860	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	00:06:03	udp
0.000000	other	0	0	1	1.00	1.00	0.94	0	1	0.00	0.00	1.00	S0	0	0	0	-1	fd95:ec1e:6a61:d91d:03ee:1d13:1f01:3454	12200	fd95:ec1e:6a61:c5bd:7dca:273e:60d9:6f5c	1998	11:27:56	tcp
0.000000	other	0	0	0	0.00	0.00	0.96	0	0	0.00	0.00	0.00	S0	0	0	0	-1	fd95:ec1e:6a61:8197:213d:45aa:031e:35e2	6000	fd95:ec1e:6a61:c754:7de5:27ea:604d:4fef	2201	23:36:42	tcp
0.015699	dns	43	75	5	1.00	0.00	0.00	37	41	0.00	0.08	0.07	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	43690	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	17:11:01	udp
0.000000	other	0	0	0	0.00	0.00	1.00	0	0	0.00	0.00	0.00	S0	0	0	0	-1	fd95:ec1e:6a61:01ef:0baa:0f6f:6f8a:3f13	46105	fd95:ec1e:6a61:a88c:7d6b:273c:611f:0090	8081	14:17:06	tcp
0.823187	ssh	505	1564	2	1.00	0.00	0.00	95	95	0.00	0.00	0.00	RSTO	0	0	0	1	fd95:ec1e:6a61:59e0:1916:11f5:494c:6699	52887	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	22	06:29:10	tcp
0.000398	dns	46	104	24	1.00	0.00	0.00	99	99	0.00	0.00	0.00	SF	0	0	0	-1	fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709	38670	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	15:22:12	udp
0.855882	ssh	2367	2145	2	1.00	0.00	0.00	79	79	0.00	0.00	0.00	RSTO	0	0	0	-1	fd95:ec1e:6a61:5546:3564:2de6:1b5b:05be	1564	fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709	22	05:27:58	tcp
0.014507	dns	36	81	11	1.00	0.00	0.19	22	28	0.00	0.18	0.14	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	36273	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	15:11:14	udp
0.000000	other	0	0	6	0.67	0.33	0.97	0	0	0.00	0.00	0.00	S0	0	0	0	1	fd95:ec1e:6a61:91a6:7a7a:00f3:0519:5eef	10915	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	21700	13:07:23	tcp
0.000388	dns	53	95	3	1.00	0.00	0.00	58	58	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	39349	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	18:50:47	udp
0.000000	other	0	0	0	0.00	0.00	1.00	0	0	0.00	0.00	0.00	S0	0	0	0	-1	fd95:ec1e:6a61:d1e4:211e:45ed:0f02:33ff	25917	fd95:ec1e:6a61:4880:7d33:2749:6013:1b26	1433	06:15:17	tcp
2.151957	ssh	2239	1964	0	0.00	0.00	0.00	86	86	0.00	0.00	0.00	RSTO	19559-1-5(1)	0	0	1	fd95:ec1e:6a61:b688:21b2:457d:1f41:098a	3620	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	22	23:13:34	tcp
3.061082	other	0	0	1	1.00	1.00	0.80	39	71	0.00	0.95	0.94	S0	0	0	0	-1	fd95:ec1e:6a61:3d86:1dd7:4138:6fb0:03b9	2837	fd95:ec1e:6a61:05d3:7dd2:270d:61ec:03f4	445	01:24:04	tcp
0.001478	dns	62	104	58	1.00	0.00	0.00	2	97	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	41389	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	01:04:24	udp
0.000000	other	0	0	0	0.00	0.00	1.00	0	0	0.00	0.00	0.00	S0	0	0	0	-1	fd95:ec1e:6a61:f96c:25a5:56c4:1eff:18fa	58635	fd95:ec1e:6a61:317f:7d91:27c2:60fe:0747	5910	15:46:22	tcp
1.374086	ssh	2239	1964	0	0.00	0.00	0.00	63	63	0.00	0.00	0.00	RSTO	0	0	0	1	fd95:ec1e:6a61:b688:21b2:457d:1f41:098a	4291	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	22	23:10:14	tcp
0.000000	dns	0	0	8	1.00	1.00	0.32	31	31	0.00	0.35	0.35	S0	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	40616	fd95:ec1e:6a61:dfb5:3f2e:0539:0323:00bd	53	02:09:11	udp
0.000061	other	0	0	3	1.00	0.00	0.38	56	56	0.04	0.16	0.16	REJ	0	0	0	-1	fd95:ec1e:6a61:42f6:2bd4:036f:02cb:3553	4642	fd95:ec1e:6a61:c7bb:7d9d:2783:614d:3364	25	10:04:54	tcp
0.000375	dns	27	43	6	1.00	0.00	0.12	51	51	0.00	0.14	0.14	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	32925	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	13:04:28	udp
