DURATION	SERVICE	SOURCE_BYTES	DESTINATION_BYTES	COUNT	SAME_SRV_RATE	SERROR_RATE	SRV_SERROR_RATE	DST_HOST_COUNT	DST_HOST_SRV_COUNT	DST_HOST_SAME_SRC_PORT_RATE	DST_HOST_SERROR_RATE	DST_HOST_SRV_SERROR_RATE	FLAG	IDS_DETECTION	MALWARE_DETECTION	ASHULA_DETECTION	LABEL	SOURCE_IP_ADDRESS	SOURCE_PORT_NUMBER	DESTINATION_IP_ADDRESS	DESTINATION_PORT_NUMBER	START_TIME	PROTOCOL
11.845855	other	1951	1019	1	1.00	0.00	0.75	1	1	0.00	0.00	0.00	SF	3-133-1(1),14782-1-17(1),7209-1-16(1)	0	349(1)	-1	fd95:ec1e:6a61:31fa:41af:0763:0352:33da	4342	fd95:ec1e:6a61:de63:7d51:27b3:61dd:0d28	445	22:28:46	tcp
0.000393	dns	46	104	32	1.00	0.12	0.23	65	76	0.00	0.00	0.08	SF	0	0	0	-1	fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709	55954	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	18:19:50	udp
0.000412	dns	43	105	14	1.00	0.00	0.00	77	100	0.00	0.00	0.00	SF	0	0	0	-1	fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709	30657	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	01:32:21	udp
0.000000	other	0	0	0	0.00	0.00	0.50	0	2	0.00	0.00	0.00	OTH	0	0	0	1	fd95:ec1e:6a61:26e4:3e56:08c3:1180:59a9	3	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	3	02:49:31	icmp
0.000000	dns	0	0	14	1.00	0.07	0.20	59	59	0.00	0.12	0.12	S0	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	39750	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	08:11:58	udp
0.000000	dns	0	0	0	0.00	0.00	1.00	9	9	0.11	0.44	0.44	SHR	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	39513	fd95:ec1e:6a61:dfb5:3f2e:0539:0323:00bd	53	14:01:52	udp
0.001471	dns	46	103	2	1.00	0.00	0.00	97	97	0.00	0.00	0.00	SF	0	0	0	-1	fd95:ec1e:6a61:77da:7a15:006d:5f38:3908	54847	fd95:ec1e:6a61:e4c3:7ddb:277a:0f76:1504	53	01:39:17	udp
0.000463	dns	37	84	23	1.00	0.00	0.00	100	100	0.00	0.00	0.00	SF	0	0	0	-1	fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709	52607	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	12:27:06	udp
0.000000	dns	0	0	2	1.00	0.50	0.60	48	50	0.00	0.21	0.20	S0	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	42426	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	18:12:36	udp
0.000400	dns	61	77	17	1.00	0.00	0.00	41	100	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	53975	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	01:10:25	udp
0.003445	dns	36	110	8	1.00	0.00	0.07	1	37	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	57610	fd95:ec1e:6a61:e4c3:7ddb:277a:0f76:1504	53	03:43:16	udp
0.000000	other	0	0	0	0.00	0.00	0.50	0	0	0.00	0.00	0.00	S0	0	0	0	-1	fd95:ec1e:6a61:f315:3fd4:128a:1e23:3d30	41439	fd95:ec1e:6a61:9ba1:7d38:2743:6089:5a71	5900	00:47:50	tcp
0.000959	dns	39	55	3	1.00	0.00	0.56	7	7	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	48519	fd95:ec1e:6a61:e4c3:7ddb:277a:0f76:1504	53	05:53:01	udp
0.000000	dns	0	0	3	1.00	0.67	0.14	8	24	0.00	1.00	0.67	S0	0	0	0	-1	fd95:ec1e:6a61:cbe0:05a6:1f12:029a:0000	26232	fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709	53	18:25:11	udp
0.000407	dns	39	71	16	1.00	0.06	0.14	50	52	0.00	0.16	0.15	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	42135	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	18:11:17	udp
1.012604	ssh	505	1564	2	1.00	0.00	0.00	90	91	0.00	0.00	0.00	RSTO	0	0	0	1	fd95:ec1e:6a61:6c20:0b0e:4386:2e33:35b3	52648	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	22	07:50:23	tcp
3.505823	other	0	0	54	1.00	1.00	0.71	0	60	0.00	0.00	1.00	S0	0	0	0	-1	fd95:ec1e:6a61:ab46:3cc2:2070:12cd:7915	26675	fd95:ec1e:6a61:5172:7dfe:27b0:61e5:2de6	25	01:39:10	tcp
0.000389	dns	45	118	2	1.00	0.00	0.00	89	89	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	33420	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	01:20:48	udp
2.997602	other	0	0	2	1.00	1.00	0.55	32	74	0.00	0.94	0.89	S0	0	0	0	-1	fd95:ec1e:6a61:8454:11cb:0540:77ad:3b70	2146	fd95:ec1e:6a61:05d3:7dd2:270d:61ec:03f4	445	20:10:11	tcp
2.866277	ssh	949	1941	1	1.00	0.00	0.00	10	10	0.00	0.00	0.00	SF	0	0	0	-1	fd95:ec1e:6a61:ddb2:0776:2dda:06b1:1fb9	55076	fd95:ec1e:6a61:39fd:7deb:2765:61d9:35c9	22	12:29:44	tcp
0.000376	dns	47	106	34	1.00	0.06	0.16	11	78	0.00	0.36	0.05	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	55611	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	18:20:48	udp
0.000000	dns	0	0	1	1.00	1.00	0.88	8	8	0.00	0.75	0.75	S0	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	40778	fd95:ec1e:6a61:dfb5:3f2e:0539:0323:00bd	53	17:05:46	udp
2.240081	ssh	621	2012	1	1.00	0.00	0.00	90	94	0.00	0.00	0.00	SF	6-128-1(1)	0	0	-1	fd95:ec1e:6a61:0939:1517:10d0:2ff7:5ae2	39845	fd95:ec1e:6a61:77da:7a15:006d:5f38:3908	22	09:19:08	tcp
0.000446	dns	43	100	37	1.00	0.00	0.00	27	99	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	42491	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	18:42:18	udp
1.378438	ssh	621	1632	1	1.00	0.00	0.00	27	27	0.00	0.00	0.00	SF	0	0	0	1	fd95:ec1e:6a61:5499:050c:0701:2fd7:2d11	35266	fd95:ec1e:6a61:b804:7dcb:276f:0751:0ff5	22	19:34:08	tcp
0.000425	dns	79	134	6	1.00	0.00	0.00	95	99	0.00	0.00	0.00	SF	0	0	0	-1	fd95:ec1e:6a61:df6b:7de2:27ad:6105:3709	57109	fd95:ec1e:6a61:435f:7de5:27b0:7d84:3c0d	53	13:20:41	udp
0.000000	snmp	0	0	0	0.00	0.00	1.00	0	0	0.00	0.00	0.00	S0	0	0	0	-1	fd95:ec1e:6a61:c56b:132d:3f3c:0f60:181c	46513	fd95:ec1e:6a61:f3af:7d20:2751:60cf:3d8e	161	04:02:00	udp
0.000053	other	0	0	0	0.00	0.00	0.86	0	1	0.00	0.00	0.00	REJ	0	0	0	-1	fd95:ec1e:6a61:d3e5:19cf:15ed:0a4b:58ef	17255	fd95:ec1e:6a61:5172:7dfe:27b0:61e5:2de6	4899	03:52:42	tcp
0.000000	other	0	0	0	0.00	0.00	1.00	0	0	0.00	0.00	0.00	S0	0	0	0	-1	fd95:ec1e:6a61:f96c:25a5:56c4:1eff:18fa	38485	fd95:ec1e:6a61:a997:7d7d:2728:6087:49fa	5903	12:21:52	tcp
0.000000	other	0	0	0	0.00	0.00	1.00	0	0	0.00	0.00	0.00	S0	0	0	0	-1	fd95:ec1e:6a61:bd72:217d:0921:14d3:050a	44565	fd95:ec1e:6a61:f3af:7d20:2751:60cf:3d8e	19	15:13:34	udp
